Date,P_av,P_jdsp,P_inmet_aut,P_inmet_conv,P_maplu_esc,P_average,Pacum_P_av,Pacum_P_jdsp,Pacum_P_inmet_aut,Pacum_P_inmet_conv,Pacum_P_maplu_esc,Pacum_P_average
2016-04-13,0.0,0.0,2.2,0.0,0.2,0.4800000000000001,794.8000000000002,693.8000000000003,625.8000000000001,631.8999999999999,662.4000000000003,681.7400000000001
2016-04-14,0.0,0.0,0.0,0.0,0.0,0.0,794.8000000000002,693.8000000000003,625.8000000000001,631.8999999999999,662.4000000000003,681.7400000000001
2016-04-15,0.0,0.0,0.0,0.0,0.0,0.0,794.8000000000002,693.8000000000003,625.8000000000001,631.8999999999999,662.4000000000003,681.7400000000001
2016-04-16,0.0,0.0,0.0,0.0,0.0,0.0,794.8000000000002,693.8000000000003,625.8000000000001,631.8999999999999,662.4000000000003,681.7400000000001
2016-04-17,0.0,0.0,0.0,0.0,0.0,0.0,794.8000000000002,693.8000000000003,625.8000000000001,631.8999999999999,662.4000000000003,681.7400000000001
2016-04-18,0.0,0.0,0.0,0.0,0.0,0.0,794.8000000000002,693.8000000000003,625.8000000000001,631.8999999999999,662.4000000000003,681.7400000000001
2016-04-19,0.0,0.0,0.0,0.0,0.0,0.0,794.8000000000002,693.8000000000003,625.8000000000001,631.8999999999999,662.4000000000003,681.7400000000001
2016-04-20,0.0,0.0,0.0,0.0,0.0,0.0,794.8000000000002,693.8000000000003,625.8000000000001,631.8999999999999,662.4000000000003,681.7400000000001
2016-04-21,0.0,0.0,0.0,0.0,0.0,0.0,794.8000000000002,693.8000000000003,625.8000000000001,631.8999999999999,662.4000000000003,681.7400000000001
2016-04-22,0.0,0.0,0.0,0.0,0.0,0.0,794.8000000000002,693.8000000000003,625.8000000000001,631.8999999999999,662.4000000000003,681.7400000000001
2016-04-23,0.0,0.0,0.0,0.0,0.0,0.0,794.8000000000002,693.8000000000003,625.8000000000001,631.8999999999999,662.4000000000003,681.7400000000001
